zipcode,near_ATTRAC,near_museum,near_Performing_arts
1011,1.1,0.5,0.5
1012,1.8,0.3,0.4
1013,3.6,0.8,0.6
1014,2.5,2.5,1.1
1015,2.8,0.3,0.5
1016,2.5,0.4,0.3
1017,1.6,0.4,0.6
1018,1.1,0.6,1.0
1019,2.8,2.0,1.9
1021,4.6,0.9,1.6
1022,5.1,1.7,2.1
1023,5.7,2.2,3.6
1024,6.6,2.9,3.8
1025,5.2,1.9,2.5
1026,7.7,6.1,6.7
1027,8.2,4.7,5.1
1028,9.5,7.6,8.3
1031,4.6,1.1,1.1
1032,4.6,1.8,1.2
1033,7.1,4.4,3.1
1034,6.3,3.4,1.0
1035,8.0,5.4,3.1
1036,6.8,4.0,2.5
1037,6.7,4.5,4.1
1041,4.6,2.7,2.9
1042,4.1,3.3,3.5
1043,2.8,3.4,2.1
1044,-99997.0,-99997.0,-99997.0
1045,7.7,8.0,7.4
1046,6.1,7.1,5.7
1047,8.3,8.5,7.8
1051,2.9,1.3,0.5
1052,2.4,0.9,0.7
1053,2.2,1.4,0.5
1054,2.6,1.4,0.5
1055,1.4,2.7,0.5
1056,0.9,2.2,1.2
1057,1.2,2.3,1.4
1058,2.1,2.7,1.0
1059,3.3,2.7,1.8
1060,6.3,2.0,2.6
1061,1.3,3.6,1.8
1062,2.7,3.6,2.2
1063,2.4,4.6,2.2
1064,2.2,4.6,2.6
1065,3.0,3.7,1.9
1066,5.1,2.3,2.3
1067,3.9,5.4,2.9
1068,4.3,2.9,0.8
1069,5.5,2.1,1.7
1071,3.1,0.7,0.5
1072,2.5,1.1,0.8
1073,2.3,1.5,0.5
1074,1.9,1.5,0.6
1075,3.0,1.7,1.0
1076,3.7,2.4,1.3
1077,3.9,1.8,0.6
1078,2.6,2.2,0.9
1079,2.1,2.8,1.2
1081,3.6,3.1,2.3
1082,3.0,3.5,1.7
1083,2.2,3.8,1.8
1086,6.3,5.5,5.3
1087,7.8,6.5,6.4
1091,1.7,1.4,0.7
1092,1.8,1.0,0.8
1093,1.5,0.6,0.5
1094,2.1,1.2,0.8
1095,3.1,2.2,1.9
1096,3.4,2.8,2.7
1097,3.2,1.3,1.9
1098,3.0,1.1,1.7
1101,0.9,4.0,0.8
1102,2.2,4.8,1.6
1103,3.7,5.1,3.1
1104,4.0,6.0,3.9
1105,3.2,5.9,3.1
1106,2.0,7.2,4.0
1107,2.2,7.9,4.8
1108,2.8,6.0,3.9
1109,6.4,2.9,3.1
1111,5.8,2.9,0.8
1112,4.4,2.8,1.7
1113,7.1,4.3,1.8
1114,3.0,3.8,2.6
1115,3.3,3.0,2.9
1117,-99997.0,-99997.0,-99997.0
1118,8.1,6.2,5.7
1119,4.6,2.6,2.1
1121,9.3,6.5,4.2
1127,10.3,7.7,6.3
1131,7.6,0.8,10.7
1132,7.3,1.8,10.4
1135,5.9,0.8,9.0
1141,10.0,1.1,10.4
1145,8.7,1.9,10.1
1151,11.1,4.6,7.9
1153,13.4,4.3,10.7
1154,15.8,6.3,13.6
1156,18.5,0.4,18.2
1161,8.4,6.5,6.6
1165,7.7,6.5,5.9
1171,7.6,1.3,4.1
1175,9.1,3.1,5.6
1181,4.7,1.4,1.1
1182,5.7,1.1,1.2
1183,4.0,2.6,2.3
1184,4.3,1.3,3.5
1185,5.9,1.3,1.4
1186,6.8,3.1,3.0
1187,4.1,3.5,4.1
1188,5.8,3.1,3.2
1189,8.1,6.3,7.3
1191,3.8,1.2,3.5
1211,5.0,0.7,0.6
1212,6.1,2.1,1.6
1213,4.7,1.9,1.7
1214,4.1,1.4,1.3
1215,3.3,2.0,2.1
1216,3.2,2.8,3.1
1217,4.9,1.3,1.4
1218,4.1,3.9,3.3
1221,5.3,1.5,1.1
1222,4.0,1.8,1.8
1223,5.6,2.1,1.9
1231,1.8,2.3,5.5
1241,7.0,5.2,5.2
1243,5.7,4.5,4.5
1244,6.9,6.8,6.5
1251,5.5,1.2,1.3
1252,5.9,2.0,2.0
1261,6.7,2.9,2.9
1262,7.4,3.9,3.9
1271,3.9,0.8,0.8
1272,3.4,1.6,1.6
1273,5.5,2.1,2.1
1274,6.7,3.3,3.3
1275,6.2,2.8,2.8
1276,5.2,1.8,1.8
1277,7.4,4.0,4.0
1309,7.8,9.7,9.0
1311,3.4,3.6,3.1
1312,2.7,2.9,2.4
1313,2.4,2.8,2.1
1314,1.5,1.9,1.3
1315,0.4,0.7,0.3
1316,2.2,2.8,2.0
1317,2.8,3.4,2.7
1318,2.7,3.6,3.1
1319,4.7,5.0,4.4
1321,3.5,3.7,3.6
1322,-99997.0,-99997.0,-99997.0
1323,2.1,2.3,2.2
1324,1.4,1.6,1.4
1325,2.0,2.3,2.1
1326,2.8,3.2,3.1
1327,-99997.0,-99997.0,-99997.0
1328,2.0,4.2,4.0
1329,-99997.0,-99997.0,-99997.0
1331,6.4,9.0,8.2
1332,5.9,8.0,7.3
1333,3.2,5.6,5.0
1334,2.8,6.2,5.8
1335,4.3,7.7,7.2
1336,5.4,9.2,8.8
1338,2.0,5.6,5.2
