nhood,Coding,Population,Married,Divorced,Widowed,Persons_with_a_migration_background,Non_Western,Morocco,Netherlands_Antilles_and_Aruba,Suriname,Turkey,Othernon-Western,Householdincome,Crime,"Vandalism,crimeagainstpublicorder",Violentandsexualcrimes,PostalCode,cafe_Within_1_km,cafe_Within_3_km,cafe_Within_5_km,distance_to_Cafeterias_km,cafeterias_Within_1_km,cafeterias_Within_3_km,cafeterias_Within_5_km,distance_to_Restaurants,restaurants_Within_1_km,restaurants_Within_3_km,restaurants_Within_5_km,hotels_Within_5_km,hotels_Within_10_5km,hotels_Within_20km,Distance_to_main_road_entrance,Distance_to_train_station,Distance_to_important_transfer_station
Amsterdam,GM0363,548448,207278,74439,23882,155023,301301,76156,12228,64991,43525,104401,29.8,5,5,9,.,19.10,172.10,381.10,0.40,28.00,244.60,552.80,0.30,52.80,460.60,1027.00,217.10,404.30,505.70,2.00,2.50,4.30
Burgwallen-OudeZijde,WK036300,3300,670,280,60,1360,670,35,40,80,35,470,27.8,3,25,54,.,204.00,562.70,702.40,0.10,234.50,702.00,975.20,0.00,331.30,1370.00,1869.00,382.70,439.70,517.90,4.10,0.70,0.70
KopZeedijk,BU03630000,800,155,70,15,330,165,0,10,30,10,120,28.9,1,21,44,1012,181.20,543.90,697.80,0.00,202.70,678.50,960.00,0.00,295.70,1300.00,1844.00,380.60,439.80,515.30,4.30,0.40,0.40
OldChurchetc,BU03630001,545,80,50,10,230,105,5,5,10,10,70,26.4,4,42,100,1012,202.70,565.50,701.50,0.00,242.50,696.60,973.20,0.00,330.20,1354.00,1862.00,381.70,439.30,517.80,4.10,0.70,0.70
BurgwallenEast,BU03630002,1210,255,110,20,515,265,20,20,30,10,190,26.2,3,21,53,1012,204.70,566.90,704.60,0.10,243.30,710.20,979.20,0.00,330.40,1389.00,1876.00,383.00,439.40,518.80,4.20,0.80,0.80
Neseo,BU03630003,285,55,15,5,125,35,0,0,5,5,20,34.2,0,31,53,1012,228.40,575.50,703.00,0.10,261.10,715.00,983.00,0.00,375.30,1412.00,1882.00,383.70,439.80,519.40,3.90,1.00,1.00
BGsiteandsurroundingarea,BU03630004,465,120,40,10,160,100,10,5,15,5,65,27.6,6,21,25,1012,228.00,573.70,705.10,0.10,242.70,720.10,988.70,0.10,370.20,1431.00,1891.00,385.90,440.60,519.40,3.80,1.10,1.10
Burgwallen-NieuweZijde,WK036301,3075,580,245,30,1375,645,30,30,70,35,475,30,6,33,96,.,183.70,553.10,697.80,0.10,229.40,681.90,965.60,0.00,323.90,1315.00,1853.00,383.90,439.20,518.10,3.80,0.90,0.90
Stationsquareandsurroundingareas,BU03630100,0,0,0,0,5,5,0,0,0,0,0,.,.,.,.,1012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Heavenly,BU03630101,440,60,40,5,185,80,5,10,15,5,50,33.9,7,37,93,1012,166.50,509.80,695.80,0.00,207.80,611.20,954.80,0.00,306.10,1173.00,1835.00,384.80,440.50,517.80,3.80,0.50,0.50
NieuwendijkNorth,BU03630102,370,55,30,5,170,100,5,5,10,5,75,26.9,11,47,96,1012,174.80,524.20,694.30,0.00,208.20,641.70,951.20,0.00,290.30,1216.00,1828.00,382.30,439.70,516.20,4.10,0.50,0.50
SpuistraatNoord,BU03630103,615,140,40,5,285,120,5,5,15,5,90,28.9,5,20,29,1012,172.30,545.70,701.00,0.10,230.20,674.80,965.50,0.00,326.30,1278.00,1860.00,384.80,438.60,518.30,3.70,0.80,0.80
NewChurchetc,BU03630104,630,130,40,5,285,135,5,5,15,10,100,31.5,10,21,71,1012,188.20,557.40,697.40,0.00,235.70,685.30,960.90,0.00,321.90,1312.00,1847.00,381.30,438.40,517.70,3.90,0.80,0.80
SpuistraatZuid,BU03630105,500,105,35,10,220,95,5,5,5,10,75,29.3,2,18,43,1012,201.30,586.80,698.40,0.10,252.50,731.10,976.20,0.00,355.10,1426.00,1867.00,386.00,439.40,518.90,3.70,1.20,1.20
Beguinagearea,BU03630106,320,50,50,5,125,75,5,5,5,0,55,25.7,5,19,45,1012,212.10,579.70,698.00,0.00,255.30,720.90,974.90,0.00,359.70,1417.00,1865.00,384.20,438.90,519.30,3.80,1.10,1.10
CalfTriangle,BU03630107,205,40,10,0,100,35,0,0,5,5,30,35.9,4,24,52,1012,168.60,570.90,697.30,0.00,194.40,716.40,983.50,0.00,285.40,1435.00,1877.00,384.70,439.50,519.30,3.60,1.40,1.40
CanalBelt-West,WK036302,4105,1725,405,150,2055,640,10,50,60,60,455,54.6,4,7,6,.,134.40,564.20,701.20,0.10,177.40,688.10,976.70,0.10,287.50,1324.00,1868.00,388.30,439.90,520.60,3.40,1.20,1.20
Langestraatandsurroundingareas,BU03630200,1120,560,130,55,545,160,5,10,20,10,115,47.1,4,5,4,1015,112.50,513.50,698.80,0.20,152.00,616.00,959.70,0.10,253.20,1174.00,1844.00,385.60,437.90,520.20,3.60,0.90,0.90
Leliegrachtandsurroundingareas,BU03630201,1195,435,100,20,610,190,5,15,15,20,140,56.2,3,10,6,1015,130.30,560.70,703.70,0.10,178.20,685.00,972.30,0.10,275.40,1303.00,1870.00,387.10,439.40,520.60,3.30,1.10,1.10
FelixMeritisbuurt,BU03630202,1355,550,135,50,700,210,5,15,20,25,145,56.5,3,9,8,1016,155.20,600.90,701.40,0.10,204.10,735.40,988.60,0.10,319.20,1430.00,1882.00,391.00,441.40,520.80,3.40,1.40,1.40
LeidsegrachtNoord,BU03630203,430,180,45,20,200,85,0,10,5,10,60,64.5,7,1,3,1016,143.00,601.80,700.10,0.10,164.40,751.20,999.00,0.10,318.00,1476.00,1888.00,390.70,442.20,521.00,3.50,1.80,1.80
CanalBelt-South,WK036303,3510,1375,350,125,1695,640,25,40,50,55,470,55.9,5,14,52,.,125.30,579.40,699.80,0.10,127.40,739.10,998.30,0.10,273.90,1477.00,1891.00,388.50,443.40,517.40,3.30,2.00,2.00
Spiegelbuurt,BU03630300,530,220,55,10,285,120,0,5,5,15,85,50.2,4,11,19,1017,132.60,588.60,699.70,0.10,121.70,745.30,1003.00,0.10,302.80,1510.00,1896.00,388.80,445.40,521.00,3.30,2.10,2.10
GoldenBend,BU03630301,85,35,5,5,35,15,0,5,0,0,10,.,38,31,285,1017,168.00,578.50,697.20,0.20,163.70,733.50,995.60,0.00,337.80,1488.00,1888.00,388.70,442.60,520.50,3.30,1.70,1.70
VanLoonbuurt,BU03630302,855,420,110,45,400,125,5,10,10,5,90,71.8,6,12,24,1017,137.60,581.70,696.30,0.10,138.70,737.50,1000.00,0.10,316.10,1492.00,1891.00,390.50,444.30,518.00,3.10,2.00,2.00
Amstelveldbuurt,BU03630303,945,435,95,35,405,150,5,5,15,20,100,56.2,3,5,8,1017,91.40,566.60,701.00,0.10,96.80,736.70,996.40,0.10,205.70,1452.00,1885.00,387.10,442.80,513.20,3.40,2.10,2.10
Rembrandtpleinneighborhood,BU03630304,360,70,35,5,180,90,5,0,5,5,75,39.3,2,32,175,1017,123.60,573.70,705.30,0.10,129.40,734.80,991.50,0.00,237.20,1445.00,1898.00,387.90,442.30,515.20,3.70,1.70,1.70
Reguliersbuurt,BU03630305,300,50,10,5,150,75,0,5,10,5,60,28.1,6,42,194,1017,166.10,575.90,700.60,0.00,179.30,731.20,994.50,0.00,294.30,1466.00,1891.00,387.80,440.30,519.20,3.50,1.60,1.60
LeidsegrachtSouth,BU03630306,435,145,35,20,235,70,5,5,10,0,50,55.4,3,14,41,1017,135.60,599.00,700.40,0.10,140.60,749.70,1001.00,0.00,304.70,1490.00,1891.00,387.80,443.70,520.90,3.40,1.90,1.90
Nieuwmarkt/Lastage,WK036304,6450,2185,890,240,2670,1455,85,75,260,100,940,34.1,5,8,14,.,124.20,538.20,698.20,0.20,118.80,675.30,960.20,0.10,193.00,1286.00,1846.00,379.00,439.80,512.70,4.40,1.10,1.10
Oosterdokseiland,BU03630400,295,140,45,5,130,115,15,5,30,5,60,52,2,27,38,1011,93.50,466.70,683.90,0.00,84.10,549.20,921.00,0.00,138.60,1013.00,1764.00,369.60,436.80,511.20,4.80,0.80,0.80
Scheepvaarthuisbuurt,BU03630401,525,170,45,15,210,50,0,0,10,5,35,34.1,11,7,5,1011,123.10,518.40,694.20,0.30,115.40,646.80,947.60,0.30,179.10,1200.00,1822.00,373.60,438.60,514.00,4.70,0.80,0.80
Rapenburg,BU03630402,795,220,50,15,385,205,10,10,25,20,140,30.6,8,7,7,1011,63.60,515.40,694.00,0.20,54.60,646.00,946.30,0.10,114.60,1188.00,1818.00,374.20,439.80,509.90,4.70,1.20,1.20
Lastage,BU03630403,770,215,75,15,275,115,10,10,10,5,80,33.4,5,8,9,1011,144.70,544.50,696.70,0.30,144.40,680.20,959.80,0.10,219.50,1303.00,1846.00,378.50,439.30,515.20,4.50,0.80,0.80
Nieuwmarkt,BU03630404,1040,320,215,55,400,225,5,15,65,5,135,27.3,3,6,14,1011,168.30,557.30,702.30,0.20,169.00,700.80,970.90,0.10,248.70,1366.00,1868.00,381.50,439.10,516.20,4.30,1.00,1.00
Uilenburg,BU03630405,750,290,110,25,305,235,15,5,30,15,165,49.3,4,8,15,1011,114.40,544.90,699.80,0.30,91.60,686.60,963.90,0.10,161.40,1307.00,1852.00,379.50,440.50,511.50,4.50,1.30,1.30
Valkenburg,BU03630406,705,295,130,45,335,170,10,10,35,10,110,32.1,6,3,8,1011,28.60,515.10,691.10,0.20,35.70,649.70,941.20,0.10,60.00,1192.00,1807.00,374.60,440.30,504.70,4.70,1.60,1.60
Zuiderkerkbuurt,BU03630407,990,340,145,40,390,200,10,10,30,20,130,30.4,5,7,11,1011,202.50,565.70,706.80,0.10,198.70,714.40,984.90,0.10,321.40,1405.00,1893.00,386.60,440.50,517.10,3.90,1.20,1.20
Waterloopleinbuurt,BU03630408,595,195,75,20,235,145,10,10,25,5,90,30.9,0,12,33,1011,116.40,552.90,701.80,0.20,105.70,701.50,967.40,0.10,197.30,1350.00,1864.00,382.30,441.60,510.90,4.20,1.60,1.60
Haarlemmerbuurt,WK036305,5935,2260,870,245,2230,1615,205,80,380,80,865,34.7,2,5,7,.,48.90,451.30,688.00,0.20,57.00,526.10,918.20,0.10,120.50,973.60,1745.00,378.80,437.00,518.50,3.20,1.20,1.20
Westerdokseiland,BU03630500,1085,600,170,55,410,455,50,20,150,25,215,43.3,1,4,5,1013,27.70,437.70,682.50,0.20,30.80,493.80,902.20,0.20,53.80,920.00,1714.00,375.70,435.50,513.40,3.70,1.10,1.10
HaarlemmerbuurtEast,BU03630501,990,300,130,40,365,185,20,5,40,5,115,37.7,3,10,10,1013,115.70,493.90,699.40,0.10,144.80,578.40,951.50,0.10,259.80,1106.00,1825.00,384.50,439.10,520.10,3.40,0.70,0.70
HaarlemmerbuurtWest,BU03630502,1595,575,235,90,605,455,80,30,95,25,225,32,2,4,13,1013,57.10,480.90,696.40,0.10,61.00,555.10,941.10,0.10,152.20,1046.00,1787.00,382.70,437.70,521.00,2.90,1.20,1.20
WesternIslands,BU03630503,1870,740,280,60,705,430,50,15,70,20,275,32.7,3,3,1,1013,25.20,418.70,679.90,0.40,29.30,497.60,895.00,0.10,70.40,890.10,1696.00,374.80,436.30,518.50,3.10,1.50,1.50
PlanciusbuurtNoord,BU03630505,295,30,25,10,115,60,5,5,10,5,25,25.2,8,6,3,1013,19.60,406.60,676.90,0.30,27.90,498.40,888.30,0.10,69.30,877.80,1687.00,376.30,436.60,519.20,2.90,1.70,1.70
PlanciusbuurtZuid,BU03630506,100,25,25,5,30,30,5,5,10,0,10,20.8,0,7,7,1013,49.60,455.30,690.80,0.10,56.30,551.00,932.40,0.10,145.40,998.70,1765.00,381.00,439.50,521.90,2.60,1.50,1.50
Jordan,WK036306,13325,3880,1760,475,4965,2640,315,170,455,190,1505,32,4,4,9,.,85.10,557.70,701.30,0.10,98.90,672.90,971.90,0.10,207.00,1284.00,1854.00,389.10,440.30,523.20,3.00,1.70,1.70
Triangleneighborhood,BU03630600,1890,540,235,50,695,330,30,20,50,20,210,30.4,3,3,6,1015,61.60,503.60,697.90,0.10,62.10,585.80,942.50,0.10,157.20,1095.00,1811.00,382.90,437.30,522.80,3.00,1.40,1.40
Bloemgrachtarea,BU03630602,2000,660,260,60,800,370,40,30,45,40,220,37.8,6,2,5,1016,85.80,570.50,706.20,0.10,111.00,703.60,984.70,0.10,203.20,1343.00,1879.00,391.80,440.60,524.00,2.70,1.70,1.70
MarnixbuurtNoord,BU03630603,985,320,145,50,310,300,45,10,75,25,140,26.9,4,1,10,1015,56.00,509.80,690.90,0.30,59.30,594.80,938.00,0.10,155.10,1106.00,1802.00,382.40,437.80,523.80,2.90,1.70,1.70
Zaagpoortbuurt,BU03630604,735,95,70,5,250,200,30,15,50,15,95,23.5,9,3,8,1015,64.80,553.20,694.50,0.30,69.40,672.30,958.30,0.10,165.70,1282.00,1839.00,388.10,439.50,523.20,2.70,2.00,2.00
MarnixbuurtMidden,BU03630605,160,30,15,0,45,40,0,0,5,5,25,29.3,5,10,5,1016,77.50,580.70,698.00,0.10,84.20,716.80,978.90,0.10,193.10,1371.00,1867.00,393.80,443.60,524.00,2.50,2.10,2.10
Elandsgrachtneighborhood,BU03630606,2920,880,430,100,1155,600,80,40,105,50,325,31.5,4,3,8,1016,112.10,600.60,703.10,0.10,135.00,735.30,995.90,0.10,261.40,1423.00,1881.00,393.50,443.70,522.50,3.00,1.80,1.80
Passeerdersgrachtbuurt,BU03630607,600,165,65,25,235,105,10,15,15,10,55,38,0,7,2,1016,113.90,610.30,700.40,0.20,125.30,753.70,1006.00,0.10,292.10,1498.00,1889.00,394.60,444.10,521.10,3.20,2.00,2.00
Groenmarktkadebuurt,BU03630608,165,20,10,5,60,35,0,0,0,5,20,38.3,30,25,70,1016,89.60,588.60,699.00,0.20,92.00,727.10,989.30,0.00,210.90,1393.00,1874.00,393.00,444.10,524.00,2.60,2.10,2.10
MarnixbuurtSouth,BU03630609,405,115,80,55,180,100,15,5,15,5,55,31.8,8,27,49,1016,100.90,612.60,700.40,0.20,110.30,755.00,1004.00,0.10,287.90,1504.00,1887.00,396.00,444.30,520.80,3.00,2.20,2.20
AnjeliersbuurtNoord,BU03630610,1415,465,175,60,510,205,30,10,20,10,135,35.8,4,3,9,1015,73.40,523.60,700.80,0.10,81.70,616.90,948.50,0.10,175.40,1153.00,1828.00,384.40,437.20,523.60,3.20,1.40,1.40
AnjeliersbuurtZuid,BU03630611,2060,590,270,60,730,365,40,25,75,10,220,29.6,4,2,5,1015,83.80,549.00,705.10,0.10,100.00,659.00,969.60,0.10,195.00,1248.00,1860.00,388.70,438.90,524.00,3.00,1.50,1.50
TheWeteringschans,WK036307,5030,1610,455,140,2065,900,50,65,100,70,610,41.2,4,11,42,.,96.50,571.40,697.10,0.10,105.20,731.90,998.20,0.10,254.40,1468.00,1886.00,388.90,444.60,515.70,3.00,2.30,2.30
LeidsebuurtNorthwest,BU03630700,190,40,15,0,85,40,0,5,0,0,40,32.6,4,56,376,1017,94.50,606.80,702.00,0.10,103.20,760.70,1004.00,0.00,268.90,1523.00,1893.00,393.10,444.20,520.50,3.10,2.20,2.20
LeidsebuurtSouthwest,BU03630701,110,30,10,5,65,30,5,0,0,5,20,32.3,19,26,123,1017,88.90,608.00,701.10,0.20,95.30,760.20,1002.00,0.00,257.40,1514.00,1893.00,395.40,444.00,519.90,3.10,2.20,2.20
LeidsebuurtNoordoost,BU03630702,780,115,55,15,305,155,5,10,15,15,120,34.2,2,21,130,1017,90.60,594.60,701.00,0.00,92.80,753.20,1005.00,0.00,252.60,1522.00,1897.00,389.60,445.20,520.50,3.10,2.30,2.30
LeidsebuurtZuidoost,BU03630703,220,65,20,10,80,55,5,5,15,0,35,31.8,3,23,74,1017,80.60,591.50,700.10,0.10,90.90,753.40,1005.00,0.10,245.40,1527.00,1902.00,390.00,445.20,520.20,3.00,2.50,2.50
Weteringbuurt,BU03630704,1740,515,125,30,710,270,25,15,20,25,180,42.2,4,5,5,1017,117.30,577.20,695.80,0.20,127.40,730.00,1002.00,0.10,305.20,1483.00,1891.00,389.90,445.20,517.00,2.90,2.20,2.20
DenTexbuurt,BU03630705,685,315,60,20,280,110,5,10,15,10,75,41.7,3,5,9,1017,87.80,566.50,695.20,0.10,110.90,727.50,1001.00,0.10,257.20,1464.00,1886.00,388.60,445.30,515.40,2.70,2.50,2.50
UtrechtsebuurtZuid,BU03630706,730,285,105,35,315,120,5,10,15,10,70,46.4,7,5,8,1017,91.40,553.70,698.30,0.10,87.60,724.20,991.40,0.10,198.60,1421.00,1875.00,386.80,443.10,511.30,3.20,2.30,2.30
Frederikspleinneighborhood,BU03630707,565,240,65,20,230,110,5,10,15,5,75,47.7,6,10,10,1017,71.40,537.20,693.90,0.20,82.70,710.10,981.90,0.20,188.90,1389.00,1865.00,386.00,443.50,509.80,3.00,2.50,2.50
Weesperbuurt/Plantage,WK036308,5445,1575,655,185,2075,1270,140,60,250,75,755,35.7,6,4,7,.,34.20,507.90,683.60,0.20,40.90,664.00,943.70,0.20,80.70,1236.00,1833.00,379.00,442.10,503.80,3.90,1.80,2.20
Weesperbuurt,BU03630800,2210,650,335,95,850,545,60,15,115,30,325,33,4,3,5,1018,51.50,534.10,697.50,0.20,53.30,695.40,961.70,0.20,105.60,1326.00,1860.00,381.80,442.60,505.30,3.90,2.00,2.00
Sarphatistrip,BU03630801,1635,395,170,30,580,445,60,25,100,30,225,36.3,6,3,10,1018,25.30,492.70,677.20,0.30,38.70,655.00,944.80,0.20,75.80,1215.00,1833.00,377.80,441.70,503.60,3.70,1.80,2.50
Plantation,BU03630803,1305,465,130,55,535,245,15,15,25,10,175,40.6,7,6,9,1018,17.90,501.90,678.90,0.20,25.20,647.30,928.10,0.10,48.90,1170.00,1809.00,377.20,441.90,501.90,4.20,1.70,2.00
Alexanderpleinandsurroundingareas,BU03630804,295,65,25,10,105,35,0,5,0,0,25,33.6,18,5,10,1018,21.50,410.50,631.00,0.50,27.20,541.80,867.00,0.10,56.30,948.60,1723.00,371.50,440.60,500.30,3.80,1.30,2.70
EasternIslands/Kadijken,WK036309,8780,2920,1235,280,2665,3180,600,125,825,210,1420,28.7,4,3,6,.,10.50,341.80,622.20,0.40,12.60,426.40,844.20,0.30,28.50,730.40,1635.00,358.20,438.30,492.90,4.10,1.60,2.20
MarineEstablishment,BU03630900,60,20,10,0,10,15,0,0,0,0,15,.,13,0,13,1019,3.30,332.20,616.90,0.60,5.20,395.20,823.20,0.20,12.80,660.20,1586.00,350.40,433.70,491.80,4.10,2.10,2.10
Kattenburg,BU03630901,1050,430,165,55,330,370,65,15,115,25,150,22.2,2,5,6,1018,4.80,378.10,641.40,0.60,5.50,474.20,868.80,0.30,21.00,791.90,1677.00,358.90,437.30,493.20,4.30,1.90,1.90
Wittenburg,BU03630902,1465,440,250,40,405,650,95,30,215,45,270,27.5,5,1,10,1018,4.60,348.50,627.30,0.60,5.00,431.70,843.60,0.30,17.90,719.90,1630.00,354.50,438.50,490.00,4.60,1.90,2.10
Oostenburg,BU03630903,1135,390,175,30,305,600,125,20,170,55,230,29.7,5,2,2,1018,10.80,330.70,616.00,0.20,11.20,409.90,835.00,0.20,24.70,696.00,1619.00,357.00,438.70,491.90,4.00,1.40,2.30
CzarPeterbuurt,BU03630904,1685,380,210,45,455,655,155,20,160,25,300,26.1,3,2,6,1018,11.30,264.40,591.70,0.10,15.00,317.30,805.70,0.20,28.10,558.60,1564.00,354.20,437.60,492.00,3.40,1.40,2.70
TheFunen,BU03630905,900,380,85,20,335,310,75,10,45,20,160,36,2,4,4,1018,18.50,241.10,583.40,0.40,24.20,290.90,795.60,0.30,41.20,514.50,1541.00,352.00,437.20,491.60,3.30,1.30,2.80
Barracksneighborhood,BU03630907,660,170,95,20,180,180,35,10,40,15,75,28.1,17,5,11,1018,19.10,365.90,625.10,0.30,29.60,486.90,850.10,0.20,51.70,848.20,1679.00,367.80,440.30,496.00,3.90,1.10,2.50
Kadijken,BU03630908,1830,715,245,55,640,395,50,25,75,20,225,32.6,1,5,3,1018,11.60,423.60,652.50,0.30,11.50,536.50,888.60,0.30,32.00,928.40,1714.00,364.80,439.20,496.30,4.50,1.60,1.80
WesternHarborArea,WK036310,145,30,25,5,70,35,5,0,5,5,20,19.6,5,77,195,.,0.40,15.30,160.40,1.20,0.80,26.80,219.80,1.80,1.30,46.00,353.70,75.10,337.20,509.00,2.30,3.20,3.60
Coenhaven/Mercuriushaven,BU03631000,15,5,5,0,5,5,0,0,0,0,0,.,.,.,.,1013,0.90,44.60,455.90,0.30,1.40,58.50,559.40,0.30,4.40,141.40,1003.00,231.10,426.30,504.60,2.70,3.50,3.50
Alphatriangle,BU03631001,10,0,0,0,5,5,0,0,0,0,5,.,.,.,.,1014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
